5779,1202
1913,325
284077,18520
201839,13920
56399,4000
32894,1950
5453,29
3896,75
2137,2
834,3
417,5
150,5
25,0
0,0
4212985,100523
3224230,77111
1936923,46271
8581,103
6659,27
371,18
318,20
59,0
52733,27500
1270,360
853,275
83,75
1,15
7379,908
2333,270
2306,270
171677,32000
47258,8000
11435,2461
4800,800
3863,810
2604,201
1529,340
1410,200
1459,200
445,5
55,1
354625,81900
297708,68022
17334,3740
9109,2080
3380,1000
1975,455
266,76
49,1
3230745,209270
1453955,185331
387256,147000
287972,78942
68035,10885
61249,204
31449,8500
19879,4000
10205,340
549,25
14,2
5,1
138,5
927559,39600
2872,180
1089,5
676,3
375,18
326,26
5,0
500735,30400
102775,5001
51870,2500
34079,2000
20159,1000
3366,134
3256,124
902,19
510,228
365,2
313,0
294,7
259,10
225,0
207,5
152,0
99,2
26,1
331503,160000
181404,86460
98497,56690
4247,1948
443,190
1414,216
15,1
23927,15995
58175,249
3479,700
10000,1000
43,1
290,50
36,2
1,2
1153282,547646
127979,59250
114018,56250
38006,18750
13999,6000
11749,5000
7448,392
4360,128
2240,200
542,35
282,25
81,1
12346,1531
5790,499
3200,310
1090,95
272,25
136,10
5052928,3155120
2398197,1242233
1429369,976320
773611,499970
516487,354102
91922,60100
82650,60360
71267,39910
52967,40280
26846,19960
32388,15000
96047,40020
27656,11501
14878,3629
3078358,2855083
602183,559000
232962,204000
150996,140000
77040,72000
72094,66000
49920,48000
253,5
121086889,143889500
117344004,124209397
31616624,39625500
29698853,42714000
28776326,34100000
13879553,18096000
1420997,1760000
1067636,1430000
30,3
4228718,1686634
834817,385790
493367,226670
222072,100490
41895,19950
2049,1000
1231,522
1,2
57829,25956
2388,33
1542,17
941,15
437,0
68,0
61,0
24,0
183013,26004
149234,93600
47400,6000
6305,2020
2788,696
1094,97
1019,100
260,4
173,2
171,12
152,5
11,8
1,0
72964,39440
21770,3352
1869,44
629,15
291,9
43,1
42,1
3399,77
1056,14
907,22
770,60
549,15
351,10
242,7
191,5
139,4
102,3
292012,208137
252575,280231
62400,60000
20800,20000
8970,3300
6395,3100
3075,203
2875,1764
1818,100
1042,38
599,12
331,80
293,7
128,125
119,300
76,4
59,3
49,2
6566,19600
4364,3014
3827,902
2720,1600
1969,122
1926,1250
1666,75
259,13
206,5
157,13
119,6
45,2
43,2
9,2
1,0
45,3
140319,38000
4094,300
629,6
211,3
159,3
43056,1600
15478,4085
1302,21
976,67
156,4
1,0
7283,3800
6888,5000
82,50
2765,150
31880,2000
5507,650
32000,10000
14241,1557
4140,500
0,0
5880,2400
104,36
9,25
2425,860
385,0
8746,692
3416,105
1140,5
385,53
294,16
1,0
18959,8000
1434,210
276,7
150,2
139,2
43,1
421958,18207
8050,350
3149,75
2361,50
1,0
78142,13200
8430,1240
1831,101
1478,220
703,60
2674,50
167,40
165,30
819983,184705
58197,9165
48905,10105
37683,8695
10292,2350
7839,1410
5586,1365
846,157
542,120
6642137,1399882
3166193,673510
2931490,700120
2222149,510870
1678127,337307
1447992,389325
790260,164765
761114,178915
508273,102735
431068,89000
396747,75000
342545,84665
243816,72000
78072,15675
57299,12935
2062,247
184,19
6,0
110842,18154
2484,350
1766,12
13,2
14273,2280
4809,685
1182,200
89585,2300
38137,1525
131,25
12135,245
2245,36
1859,28
464,4
372,26
357,50
6291,1890
494,110
66922,39600
10997,765
5905,50
3008,400
1445,140
549,75
136,10
61,2
3687027,1063300
12,0
31789,9250
4050,1300
1144,250
1000,500
78,27
23,23
16433520,429422
6929474,158548
2006997,56250
998749,24475
538998,11000
494598,13000
284998,7500
272638,4605
137399,1350
78000,2000
68600,1400
32809,950
26091,450
3730,1000
1260,150
860,100
260,25
714,180
1033570,248037
585000,975
256067,500
243748,675
176826,375
152726,2623
72599,120
37923,60
28725,9094
20970,25
17014,2400
9904,525
1997,50
499,40
216,4
3,2
0,0
38355,5000
3883,891
86987,26770
61023,16980
21760,8000
8837,5250
7000,2500
89,1
7236,7200
553506,330219
294462,110540
132018,46660
99012,23731
63098,39600
54648,19800
54319,16000
51359,24000
50700,19800
24521,7860
13913,3530
11757,2760
35547,2531
7490,63
4097,30
1806,14
1637,10
1503,14
1323,12
597,6
515,12
92,1
42,0
0,0
16365,18285
960998,62000
171119,24800
201214,8614
83637,1200
28500,300
169,20
127,25
3900,600
280828,78290
197466,13645
217,2
136,17
536333,385110
589958,511870
3916,2560
1,2
5461600,4161490
507,35
161,15
5707,1769
1252,17
1043,22
727,8
126,1
108,1
95,1
150,2
40,0
584309,174720
248542,83200
209039,62400
10003,3640
1240000,31000
1069,10
219,1
45,0
3016465,918945
798163,195620
629763,207600
258569,83280
169678,33600
109760,22400
54880,11200
17863,2300
9150,3150
5509,1280
10400,720
414,30
1,0
254,4
44,0
1216854,427850
140084,41201
66599,32020
21333,2608
